chr	start	cen.left.base	cen.right.base	end
1	1	121535434	124535434	248956422
2	1	92326171	95326171	242193529
3	1	90504854	93504854	198295559
4	1	49660117	52660117	190214555
5	1	46405641	49405641	181538259
6	1	58830166	61830166	170805979
7	1	58054331	61054331	159345973
8	1	43838887	46838887	145138636
9	1	47367679	50367679	138394717
10	1	39254935	42254935	133797422
11	1	51644205	54644205	135086622
12	1	34856694	37856694	133275309
13	1	16000000	19000000	114364328
14	1	16000000	19000000	107043718
15	1	17000000	20000000	101991189
16	1	35335801	38335801	90338345
17	1	22263006	25263006	83257441
18	1	15460898	18460898	80373285
19	1	24681782	27681782	58617616
20	1	26369569	29369569	64444167
21	1	11288129	14288129	46709983
22	1	13000000	16000000	50818468
23	1	58632012	61632012	156040895
